name,lat,lon,str
CAFE METRO 625 8 AVENUE New York NY 10018,40.755322,-73.9932872,"{lng=-73.9932872, lat=40.755322}"
BULLY'S DELI 759 BROADWAY New York NY 10003,40.7309346,-73.9925306,"{lng=-73.9925306, lat=40.7309346}"
MEJLANDER & MULGANNON 7615 5 AVENUE New York NY 11209,40.6212119,-74.0329499,"{lng=-74.03294989999999, lat=40.6212119}"
HO MEI RESTAURANT 103-05 37 AVENUE New York NY 11368,40.7506343,-73.8477874,"{lng=-73.8477874, lat=40.7506343}"
HAPPY GARDEN 1236 238 SPOFFORD AVE New York NY 10474,40.8139951,-73.88947,"{lng=-73.88947, lat=40.8139951}"
TONY'S DELI 1069 WYCKOFF AVENUE New York NY 11385,40.694924,-73.902463,"{lng=-73.902463, lat=40.694924}"
HARRIET'S KITCHEN 502 AMSTERDAM AVENUE New York NY 10024,40.786714,-73.976112,"{lng=-73.976112, lat=40.786714}"
WHITE CASTLE 531 MYRTLE AVENUE New York NY 11205,40.6940001,-73.9634876,"{lng=-73.9634876, lat=40.6940001}"
MORRIS PARK BAKE SHOP 1007 MORRIS PARK AVE New York NY 10462,40.848447,-73.856077,"{lng=-73.856077, lat=40.848447}"
WENDY'S 469 FLATBUSH AVENUE New York NY 11225,40.662942,-73.961704,"{lng=-73.961704, lat=40.662942}"
NERON'S PIZZA 21532 HILLSIDE AVENUE New York NY 11427,40.727081,-73.748749,"{lng=-73.748749, lat=40.72708100000001}"
MOMS LUNCHEONETTE 10102 103 AVENUE New York NY 11417,40.6736207,-73.8448469,"{lng=-73.8448469, lat=40.6736207}"
HAAGEN-DAZS 1 PENN PLAZA New York NY 10119,40.7511286,-73.992471,"{lng=-73.992471, lat=40.7511286}"
FONTANA FAMOUS PIZZA & GYRO 20002 NORTHERN BOULEVARD New York NY 11361,40.757529,-73.782866,"{lng=-73.782866, lat=40.757529}"
HOT BAGELS 7905 METROPOLITAN AVENUE New York NY 11379,40.7132577,-73.8735079,"{lng=-73.87350789999999, lat=40.7132577}"
CARVEL ICE CREAM 1111 HYLAN BOULEVARD New York NY 10305,40.598818,-74.079667,"{lng=-74.079667, lat=40.598818}"
DOMINO'S PIZZA 464 3 AVENUE New York NY 10016,40.74727,-73.9800645,"{lng=-73.9800645, lat=40.74727}"
